protein_id,seed,length,pdb,pt
s1000_n310,1000,310,samples/s1000_n310.pdb,samples/s1000_n310.pt
s1001_n376,1001,376,samples/s1001_n376.pdb,samples/s1001_n376.pt
s1002_n442,1002,442,samples/s1002_n442.pdb,samples/s1002_n442.pt
s1003_n480,1003,480,samples/s1003_n480.pdb,samples/s1003_n480.pt
s1004_n540,1004,540,samples/s1004_n540.pdb,samples/s1004_n540.pt
s1005_n573,1005,573,samples/s1005_n573.pdb,samples/s1005_n573.pt
s1006_n610,1006,610,samples/s1006_n610.pdb,samples/s1006_n610.pt
s1007_n660,1007,660,samples/s1007_n660.pdb,samples/s1007_n660.pt
s1008_n725,1008,725,samples/s1008_n725.pdb,samples/s1008_n725.pt
s1009_n776,1009,776,samples/s1009_n776.pdb,samples/s1009_n776.pt
s1010_n314,1010,314,samples/s1010_n314.pdb,samples/s1010_n314.pt
s1011_n359,1011,359,samples/s1011_n359.pdb,samples/s1011_n359.pt
s1012_n424,1012,424,samples/s1012_n424.pdb,samples/s1012_n424.pt
s1013_n464,1013,464,samples/s1013_n464.pdb,samples/s1013_n464.pt
s1014_n513,1014,513,samples/s1014_n513.pdb,samples/s1014_n513.pt
s1015_n587,1015,587,samples/s1015_n587.pdb,samples/s1015_n587.pt
s1016_n609,1016,609,samples/s1016_n609.pdb,samples/s1016_n609.pt
s1017_n677,1017,677,samples/s1017_n677.pdb,samples/s1017_n677.pt
s1018_n700,1018,700,samples/s1018_n700.pdb,samples/s1018_n700.pt
s1019_n793,1019,793,samples/s1019_n793.pdb,samples/s1019_n793.pt
s1020_n344,1020,344,samples/s1020_n344.pdb,samples/s1020_n344.pt
s1021_n390,1021,390,samples/s1021_n390.pdb,samples/s1021_n390.pt
s1022_n434,1022,434,samples/s1022_n434.pdb,samples/s1022_n434.pt
s1023_n462,1023,462,samples/s1023_n462.pdb,samples/s1023_n462.pt
s1024_n539,1024,539,samples/s1024_n539.pdb,samples/s1024_n539.pt
s1025_n559,1025,559,samples/s1025_n559.pdb,samples/s1025_n559.pt
s1026_n631,1026,631,samples/s1026_n631.pdb,samples/s1026_n631.pt
s1027_n699,1027,699,samples/s1027_n699.pdb,samples/s1027_n699.pt
s1028_n707,1028,707,samples/s1028_n707.pdb,samples/s1028_n707.pt
s1029_n783,1029,783,samples/s1029_n783.pdb,samples/s1029_n783.pt
s1030_n305,1030,305,samples/s1030_n305.pdb,samples/s1030_n305.pt
s1031_n364,1031,364,samples/s1031_n364.pdb,samples/s1031_n364.pt
s1032_n421,1032,421,samples/s1032_n421.pdb,samples/s1032_n421.pt
s1033_n460,1033,460,samples/s1033_n460.pdb,samples/s1033_n460.pt
s1034_n545,1034,545,samples/s1034_n545.pdb,samples/s1034_n545.pt
s1035_n581,1035,581,samples/s1035_n581.pdb,samples/s1035_n581.pt
s1036_n642,1036,642,samples/s1036_n642.pdb,samples/s1036_n642.pt
s1037_n682,1037,682,samples/s1037_n682.pdb,samples/s1037_n682.pt
s1038_n718,1038,718,samples/s1038_n718.pdb,samples/s1038_n718.pt
s1039_n794,1039,794,samples/s1039_n794.pdb,samples/s1039_n794.pt
s1040_n323,1040,323,samples/s1040_n323.pdb,samples/s1040_n323.pt
s1041_n398,1041,398,samples/s1041_n398.pdb,samples/s1041_n398.pt
s1042_n440,1042,440,samples/s1042_n440.pdb,samples/s1042_n440.pt
s1043_n457,1043,457,samples/s1043_n457.pdb,samples/s1043_n457.pt
s1044_n534,1044,534,samples/s1044_n534.pdb,samples/s1044_n534.pt
s1045_n584,1045,584,samples/s1045_n584.pdb,samples/s1045_n584.pt
s1046_n640,1046,640,samples/s1046_n640.pdb,samples/s1046_n640.pt
s1047_n672,1047,672,samples/s1047_n672.pdb,samples/s1047_n672.pt
s1048_n717,1048,717,samples/s1048_n717.pdb,samples/s1048_n717.pt
s1049_n750,1049,750,samples/s1049_n750.pdb,samples/s1049_n750.pt
s1050_n342,1050,342,samples/s1050_n342.pdb,samples/s1050_n342.pt
s1051_n364,1051,364,samples/s1051_n364.pdb,samples/s1051_n364.pt
s1052_n449,1052,449,samples/s1052_n449.pdb,samples/s1052_n449.pt
s1053_n469,1053,469,samples/s1053_n469.pdb,samples/s1053_n469.pt
s1054_n536,1054,536,samples/s1054_n536.pdb,samples/s1054_n536.pt
s1055_n566,1055,566,samples/s1055_n566.pdb,samples/s1055_n566.pt
s1056_n606,1056,606,samples/s1056_n606.pdb,samples/s1056_n606.pt
s1057_n697,1057,697,samples/s1057_n697.pdb,samples/s1057_n697.pt
s1058_n700,1058,700,samples/s1058_n700.pdb,samples/s1058_n700.pt
s1059_n785,1059,785,samples/s1059_n785.pdb,samples/s1059_n785.pt
s1060_n305,1060,305,samples/s1060_n305.pdb,samples/s1060_n305.pt
s1061_n356,1061,356,samples/s1061_n356.pdb,samples/s1061_n356.pt
s1062_n411,1062,411,samples/s1062_n411.pdb,samples/s1062_n411.pt
s1063_n467,1063,467,samples/s1063_n467.pdb,samples/s1063_n467.pt
s1064_n533,1064,533,samples/s1064_n533.pdb,samples/s1064_n533.pt
s1065_n590,1065,590,samples/s1065_n590.pdb,samples/s1065_n590.pt
s1066_n645,1066,645,samples/s1066_n645.pdb,samples/s1066_n645.pt
s1067_n657,1067,657,samples/s1067_n657.pdb,samples/s1067_n657.pt
s1068_n742,1068,742,samples/s1068_n742.pdb,samples/s1068_n742.pt
s1069_n752,1069,752,samples/s1069_n752.pdb,samples/s1069_n752.pt
s1070_n308,1070,308,samples/s1070_n308.pdb,samples/s1070_n308.pt
s1071_n365,1071,365,samples/s1071_n365.pdb,samples/s1071_n365.pt
s1072_n423,1072,423,samples/s1072_n423.pdb,samples/s1072_n423.pt
s1073_n471,1073,471,samples/s1073_n471.pdb,samples/s1073_n471.pt
s1074_n536,1074,536,samples/s1074_n536.pdb,samples/s1074_n536.pt
s1075_n590,1075,590,samples/s1075_n590.pdb,samples/s1075_n590.pt
s1076_n628,1076,628,samples/s1076_n628.pdb,samples/s1076_n628.pt
s1077_n650,1077,650,samples/s1077_n650.pdb,samples/s1077_n650.pt
s1078_n709,1078,709,samples/s1078_n709.pdb,samples/s1078_n709.pt
s1079_n772,1079,772,samples/s1079_n772.pdb,samples/s1079_n772.pt
s1080_n328,1080,328,samples/s1080_n328.pdb,samples/s1080_n328.pt
s1081_n377,1081,377,samples/s1081_n377.pdb,samples/s1081_n377.pt
s1082_n437,1082,437,samples/s1082_n437.pdb,samples/s1082_n437.pt
s1083_n450,1083,450,samples/s1083_n450.pdb,samples/s1083_n450.pt
s1084_n510,1084,510,samples/s1084_n510.pdb,samples/s1084_n510.pt
s1085_n564,1085,564,samples/s1085_n564.pdb,samples/s1085_n564.pt
s1086_n600,1086,600,samples/s1086_n600.pdb,samples/s1086_n600.pt
s1087_n652,1087,652,samples/s1087_n652.pdb,samples/s1087_n652.pt
s1088_n735,1088,735,samples/s1088_n735.pdb,samples/s1088_n735.pt
s1089_n778,1089,778,samples/s1089_n778.pdb,samples/s1089_n778.pt
s1090_n333,1090,333,samples/s1090_n333.pdb,samples/s1090_n333.pt
s1091_n397,1091,397,samples/s1091_n397.pdb,samples/s1091_n397.pt
s1092_n442,1092,442,samples/s1092_n442.pdb,samples/s1092_n442.pt
s1093_n486,1093,486,samples/s1093_n486.pdb,samples/s1093_n486.pt
s1094_n524,1094,524,samples/s1094_n524.pdb,samples/s1094_n524.pt
s1095_n592,1095,592,samples/s1095_n592.pdb,samples/s1095_n592.pt
s1096_n618,1096,618,samples/s1096_n618.pdb,samples/s1096_n618.pt
s1097_n677,1097,677,samples/s1097_n677.pdb,samples/s1097_n677.pt
s1098_n708,1098,708,samples/s1098_n708.pdb,samples/s1098_n708.pt
s1099_n768,1099,768,samples/s1099_n768.pdb,samples/s1099_n768.pt
s1100_n339,1100,339,samples/s1100_n339.pdb,samples/s1100_n339.pt
s1101_n380,1101,380,samples/s1101_n380.pdb,samples/s1101_n380.pt
s1102_n449,1102,449,samples/s1102_n449.pdb,samples/s1102_n449.pt
s1103_n486,1103,486,samples/s1103_n486.pdb,samples/s1103_n486.pt
s1104_n506,1104,506,samples/s1104_n506.pdb,samples/s1104_n506.pt
s1105_n599,1105,599,samples/s1105_n599.pdb,samples/s1105_n599.pt
s1106_n616,1106,616,samples/s1106_n616.pdb,samples/s1106_n616.pt
s1107_n694,1107,694,samples/s1107_n694.pdb,samples/s1107_n694.pt
s1108_n746,1108,746,samples/s1108_n746.pdb,samples/s1108_n746.pt
s1109_n775,1109,775,samples/s1109_n775.pdb,samples/s1109_n775.pt
s1110_n318,1110,318,samples/s1110_n318.pdb,samples/s1110_n318.pt
s1111_n360,1111,360,samples/s1111_n360.pdb,samples/s1111_n360.pt
s1112_n415,1112,415,samples/s1112_n415.pdb,samples/s1112_n415.pt
s1113_n464,1113,464,samples/s1113_n464.pdb,samples/s1113_n464.pt
s1114_n507,1114,507,samples/s1114_n507.pdb,samples/s1114_n507.pt
s1115_n591,1115,591,samples/s1115_n591.pdb,samples/s1115_n591.pt
s1116_n602,1116,602,samples/s1116_n602.pdb,samples/s1116_n602.pt
